ID,Response
50883,0
50884,1
50885,1
50886,0
50887,1
50888,1
50889,0
50890,0
50891,1
50892,1
50893,1
50894,1
50895,0
50896,0
50897,1
50898,0
50899,1
50900,1
50901,0
50902,0
50903,0
50904,1
50905,0
50906,0
50907,0
50908,0
50909,0
50910,0
50911,0
50912,0
50913,0
50914,1
50915,1
50916,0
50917,1
50918,0
50919,0
50920,1
50921,0
50922,0
50923,0
50924,1
50925,0
50926,1
50927,0
50928,0
50929,1
50930,0
50931,0
50932,0
50933,0
50934,0
50935,0
50936,0
50937,0
50938,0
50939,0
50940,1
50941,1
50942,1
50943,1
50944,0
50945,0
50946,1
50947,0
50948,0
50949,1
50950,0
50951,0
50952,1
50953,0
50954,0
50955,0
50956,0
50957,0
50958,0
50959,0
50960,1
50961,0
50962,0
50963,1
50964,0
50965,0
50966,0
50967,0
50968,0
50969,1
50970,0
50971,0
50972,1
50973,0
50974,0
50975,0
50976,0
50977,0
50978,0
50979,0
50980,0
50981,0
50982,0
50983,0
50984,1
50985,0
50986,0
50987,0
50988,0
50989,0
50990,0
50991,0
50992,0
50993,0
50994,0
50995,0
50996,1
50997,1
50998,1
50999,0
51000,0
51001,0
51002,1
51003,1
51004,0
51005,0
51006,0
51007,1
51008,0
51009,0
51010,0
51011,0
51012,0
51013,1
51014,0
51015,0
51016,0
51017,0
51018,0
51019,0
51020,0
51021,0
51022,1
51023,0
51024,0
51025,0
51026,0
51027,0
51028,0
51029,0
51030,1
51031,0
51032,1
51033,0
51034,1
51035,1
51036,1
51037,1
51038,0
51039,0
51040,1
51041,0
51042,0
51043,1
51044,0
51045,1
51046,0
51047,0
51048,0
51049,1
51050,0
51051,0
51052,0
51053,0
51054,0
51055,1
51056,0
51057,1
51058,0
51059,1
51060,0
51061,1
51062,1
51063,0
51064,0
51065,0
51066,0
51067,0
51068,0
51069,0
51070,0
51071,0
51072,0
51073,0
51074,0
51075,0
51076,0
51077,1
51078,0
51079,0
51080,0
51081,0
51082,0
51083,1
51084,0
51085,0
51086,0
51087,0
51088,0
51089,0
51090,0
51091,0
51092,0
51093,1
51094,0
51095,0
51096,0
51097,0
51098,1
51099,0
51100,0
51101,1
51102,0
51103,1
51104,0
51105,1
51106,0
51107,0
51108,1
51109,0
51110,0
51111,1
51112,1
51113,0
51114,0
51115,1
51116,0
51117,0
51118,0
51119,1
51120,0
51121,0
51122,1
51123,0
51124,0
51125,1
51126,0
51127,1
51128,0
51129,0
51130,1
51131,0
51132,1
51133,0
51134,0
51135,0
51136,0
51137,0
51138,0
51139,1
51140,0
51141,0
51142,0
51143,0
51144,1
51145,0
51146,1
51147,0
51148,0
51149,0
51150,0
51151,1
51152,0
51153,0
51154,0
51155,1
51156,0
51157,1
51158,1
51159,0
51160,1
51161,0
51162,1
51163,0
51164,0
51165,0
51166,0
51167,1
51168,0
51169,0
51170,1
51171,0
51172,1
51173,0
51174,0
51175,1
51176,0
51177,0
51178,0
51179,0
51180,0
51181,1
51182,1
51183,0
51184,0
51185,0
51186,1
51187,1
51188,1
51189,0
51190,0
51191,0
51192,1
51193,0
51194,1
51195,0
51196,1
51197,0
51198,1
51199,0
51200,0
51201,0
51202,1
51203,0
51204,0
51205,1
51206,0
51207,0
51208,0
51209,0
51210,0
51211,0
51212,1
51213,1
51214,1
51215,1
51216,0
51217,0
51218,0
51219,0
51220,1
51221,0
51222,0
51223,0
51224,0
51225,0
51226,0
51227,0
51228,0
51229,0
51230,0
51231,1
51232,0
51233,0
51234,0
51235,0
51236,1
51237,0
51238,1
51239,0
51240,0
51241,1
51242,1
51243,1
51244,0
51245,1
51246,0
51247,0
51248,0
51249,0
51250,0
51251,0
51252,0
51253,0
51254,1
51255,0
51256,0
51257,0
51258,0
51259,0
51260,0
51261,0
51262,0
51263,1
51264,0
51265,0
51266,1
51267,1
51268,1
51269,0
51270,1
51271,0
51272,1
51273,1
51274,0
51275,0
51276,0
51277,0
51278,0
51279,0
51280,0
51281,0
51282,1
51283,0
51284,0
51285,0
51286,0
51287,1
51288,0
51289,1
51290,0
51291,0
51292,0
51293,1
51294,1
51295,0
51296,0
51297,0
51298,0
51299,0
51300,0
51301,0
51302,0
51303,0
51304,0
51305,1
51306,1
51307,0
51308,1
51309,1
51310,1
51311,1
51312,0
51313,1
51314,1
51315,0
51316,0
51317,1
51318,1
51319,0
51320,1
51321,0
51322,0
51323,1
51324,1
51325,0
51326,0
51327,0
51328,1
51329,0
51330,0
51331,1
51332,1
51333,0
51334,0
51335,1
51336,0
51337,0
51338,0
51339,0
51340,0
51341,1
51342,0
51343,0
51344,1
51345,0
51346,0
51347,0
51348,0
51349,0
51350,0
51351,0
51352,0
51353,0
51354,0
51355,0
51356,0
51357,1
51358,0
51359,0
51360,0
51361,0
51362,1
51363,0
51364,1
51365,0
51366,0
51367,1
51368,0
51369,0
51370,0
51371,1
51372,0
51373,0
51374,1
51375,0
51376,1
51377,1
51378,1
51379,1
51380,0
51381,0
51382,1
51383,0
51384,0
51385,0
51386,0
51387,0
51388,0
51389,1
51390,1
51391,0
51392,1
51393,0
51394,0
51395,0
51396,1
51397,1
51398,1
51399,0
51400,0
51401,0
51402,0
51403,1
51404,0
51405,0
51406,1
51407,0
51408,0
51409,0
51410,1
51411,1
51412,1
51413,0
51414,1
51415,0
51416,0
51417,1
51418,0
51419,0
51420,1
51421,0
51422,1
51423,0
51424,1
51425,0
51426,0
51427,1
51428,0
51429,1
51430,1
51431,1
51432,1
51433,0
51434,0
51435,0
51436,1
51437,0
51438,0
51439,1
51440,0
51441,0
51442,1
51443,0
51444,1
51445,1
51446,0
51447,0
51448,0
51449,0
51450,1
51451,1
51452,0
51453,0
51454,0
51455,0
51456,0
51457,0
51458,1
51459,1
51460,0
51461,1
51462,0
51463,1
51464,0
51465,1
51466,0
51467,1
51468,0
51469,0
51470,0
51471,1
51472,0
51473,0
51474,0
51475,0
51476,0
51477,1
51478,0
51479,1
51480,0
51481,0
51482,0
51483,0
51484,1
51485,0
51486,0
51487,1
51488,1
51489,0
51490,0
51491,1
51492,0
51493,0
51494,1
51495,0
51496,1
51497,1
51498,0
51499,0
51500,0
51501,1
51502,0
51503,0
51504,0
51505,1
51506,1
51507,0
51508,0
51509,0
51510,0
51511,1
51512,0
51513,0
51514,0
51515,1
51516,0
51517,0
51518,0
51519,0
51520,0
51521,0
51522,0
51523,0
51524,1
51525,0
51526,0
51527,0
51528,0
51529,0
51530,0
51531,0
51532,0
51533,1
51534,0
51535,1
51536,1
51537,0
51538,0
51539,0
51540,0
51541,0
51542,1
51543,0
51544,0
51545,0
51546,0
51547,1
51548,0
51549,0
51550,1
51551,0
51552,0
51553,0
51554,0
51555,0
51556,0
51557,0
51558,1
51559,1
51560,0
51561,0
51562,1
51563,1
51564,0
51565,0
51566,1
51567,0
51568,0
51569,0
51570,1
51571,0
51572,0
51573,0
51574,0
51575,1
51576,0
51577,1
51578,1
51579,0
51580,0
51581,0
51582,0
51583,0
51584,0
51585,1
51586,0
51587,0
51588,0
51589,0
51590,1
